frame,keypoint,distance_px,png_conf,jpeg_conf,png_xy,jpeg_xy
00000154,0,0.6739454149834788,0.9649434089660645,0.9640883207321167,"[1470.9832424587673, 311.096194823583]","[1471.6563640170627, 311.0628813107809]"
00000154,1,0.45694520658809584,1.0134649276733398,1.0152254104614258,"[1484.632371690538, 299.7219207286835]","[1484.1773370107014, 299.6801791191101]"
00000154,2,0.6736260928647226,0.9553248882293701,0.9569976329803467,"[1469.8458150227864, 298.5844933191935]","[1470.5180937449138, 298.541908899943]"
00000154,3,0.425868652603337,0.9260655641555786,0.9247571229934692,"[1525.5797593858506, 313.37104964256287]","[1525.155066808065, 313.339421749115]"
00000154,4,0.6741204664119257,0.6333061456680298,0.6325781345367432,"[1470.9832424587673, 306.54648518562317]","[1471.6563640170627, 306.50980043411255]"
00000154,5,0.7432228755483586,0.7519237995147705,0.7498745918273926,"[1565.3897196451824, 375.92955716451013]","[1566.1327966054282, 375.9442838033041]"
00000154,6,0.6955739477048383,0.7307161092758179,0.7290054559707642,"[1500.5563557942708, 392.99096830685926]","[1501.251391092936, 393.01833709081006]"
00000154,7,0.3439728380060722,0.7950818538665771,0.7922850847244263,"[1642.7347852918838, 443.0377743244171]","[1642.3969048394097, 443.1022267341614]"
00000154,8,1.1187080366591169,0.625540554523468,0.6266975402832031,"[1517.6177673339844, 498.77171738942457]","[1517.187174903022, 497.7391972541809]"
00000154,9,0.40578132750917045,0.7750394344329834,0.772000789642334,"[1575.6265665690103, 518.1079833507538]","[1575.2389587826199, 518.2280611991882]"
00000154,10,1.1317044837656474,0.7740265130996704,0.7771257162094116,"[1458.4715406629775, 505.59628184636426]","[1457.997120751275, 504.56881856918335]"
00000154,11,0.7647776207842975,0.6365979313850403,0.6350573897361755,"[1569.939429389106, 580.6664908727009]","[1570.685877694024, 580.8329232533772]"
00000154,12,1.2091613838683557,0.5992575883865356,0.597327709197998,"[1538.0914611816406, 584.0787731011708]","[1538.8143100738525, 583.1094636917114]"
00000154,13,0.9645987617884398,0.7055690288543701,0.7027499079704285,"[1506.2434929741753, 733.0817637443542]","[1505.8044721815322, 732.2228624025979]"
00000154,14,0.8080666273418439,0.681856632232666,0.6808469295501709,"[1582.451131184896, 742.1811830202737]","[1583.2068506876628, 742.4672943751016]"
00000154,15,0.8594541727684099,0.705413818359375,0.7005068063735962,"[1609.7493896484375, 854.7864965597787]","[1610.5253372192383, 855.1560460726419]"
00000154,16,0.5069119659631464,0.7323570847511292,0.7291313409805298,"[1665.4833340115017, 885.4970366160073]","[1665.1623102823894, 885.8893419901528]"
00000154,17,1.2699330004960205,0.8329051733016968,0.8314420580863953,"[1497.1440734863281, 256.4996791680654]","[1497.8365802764893, 257.56418100992835]"
00000154,18,0.7127408695949949,0.9308344125747681,0.9297122955322266,"[1524.4423319498699, 360.00557343165076]","[1525.155066808065, 360.00850073496497]"
00000154,19,1.2145882875352385,0.8924497365951538,0.8902953863143921,"[1556.290300157335, 588.6284827391307]","[1557.0266344282363, 587.6625445683796]"
00000154,20,1.0346542062915087,0.5776481032371521,0.565091609954834,"[1569.939429389106, 925.3069959481559]","[1570.685877694024, 924.5905294418335]"
00000154,21,8.478252229613688,0.6239545941352844,0.6129364371299744,"[1607.4745347764756, 936.6812700430551]","[1599.1426344977485, 938.2497720718384]"
00000154,22,1.0521184310241551,0.5834563970565796,0.5740242600440979,"[1593.8254055447048, 916.207576672236]","[1594.5895534091526, 915.4843676884971]"
00000154,23,8.333439421062131,0.5959926843643188,0.5950027704238892,"[1619.9862365722656, 928.7192781766257]","[1611.6636074913872, 929.1436103185019]"
00000154,24,2.0777385122960723,0.6609964370727539,0.6542762517929077,"[1638.18507554796, 871.8479077021279]","[1640.1203642951118, 871.0918291409812]"
00000154,25,1.4916109686397785,0.6932249665260315,0.685820460319519,"[1696.193874782986, 898.0087381203971]","[1694.7573373582627, 898.410314400991]"
00000163,0,1.0252004657569442,0.9987423419952393,0.9957175254821777,"[1303.0801162719727, 286.02313232421875]","[1303.0191243489583, 284.9997477531433]"
00000163,1,0.16610685957334895,1.07624351978302,1.0722343921661377,"[1315.9429626464844, 274.3296356201172]","[1315.8750796847874, 274.48123836517334]"
00000163,2,1.017659665020771,0.9733227491378784,0.968413233757019,"[1301.9107666015625, 271.9909362792969]","[1301.8504011366103, 270.97506856918335]"
00000163,3,0.16945284502849353,1.0213574171066284,1.0253052711486816,"[1355.7008514404297, 288.36183166503906]","[1355.6116689046223, 288.5059175491333]"
00000163,4,1.1170159631894947,0.6609059572219849,0.6542949676513672,"[1304.2494659423828, 280.17638397216797]","[1305.3565707736545, 280.32485469182325]"
00000163,5,0.1583032590615821,0.7788174152374268,0.7808871269226074,"[1397.7974395751953, 347.99866485595703]","[1397.6857045491536, 348.11080408096313]"
00000163,6,1.2712373126361933,0.7383679151535034,0.7416208386421204,"[1310.0962142944336, 369.04695892333984]","[1310.0314636230469, 370.31654612223304]"
00000163,7,1.2443049706243647,0.8384430408477783,0.8373484015464783,"[1460.9423217773438, 432.1918411254883]","[1460.7967580159507, 433.42760245005286]"
00000163,8,1.7506215699427516,0.6450958251953125,0.6516981720924377,"[1351.023452758789, 461.4255828857422]","[1349.7680528428818, 462.64568408330285]"
00000163,9,0.11479298355710756,0.8235668540000916,0.8263567686080933,"[1381.4265441894531, 462.59493255615234]","[1381.3235795762803, 462.64568408330285]"
00000163,10,1.2064557007757863,0.825861930847168,0.8280342221260071,"[1297.2333679199219, 489.48997497558594]","[1297.1755082872178, 490.6950424512228]"
00000163,11,1.5812001911408677,0.6441577672958374,0.6461840867996216,"[1380.257194519043, 559.6509552001953]","[1381.3235795762803, 560.8184383710226]"
00000163,12,2.3358668971886365,0.6234802007675171,0.6245259046554565,"[1347.5154037475586, 563.1590042114258]","[1347.4306064181858, 565.4933314323425]"
00000163,13,1.0846971391819202,0.7094008922576904,0.7107326984405518,"[1340.4993057250977, 719.8518600463867]","[1340.4182671440972, 720.9335257212322]"
00000163,14,1.053445546728549,0.6562496423721313,0.6611120700836182,"[1410.660285949707, 714.0051116943359]","[1411.7103830973308, 713.9211861292522]"
00000163,15,0.18348913177705234,0.769253134727478,0.7695980072021484,"[1297.2333679199219, 882.3914642333984]","[1297.1755082872178, 882.2173363367717]"
